,Adjective,Sentence,Noun
542,"['ISOLATED', 'OCCASSION', 'HUNGRY']",Havisham lives an isolated life in mansion and is occassion by money hungry the marriage room is unalter and rodents and spider webs cover the her skin has yellowed from lack of sunlight and she keeps warmth from her she adopts a orphan girl from Jagger name she sits on a throne seat and orchastrate a drama between Pip and Ms,Jagger
543,"['UPPER', 'LOWER', 'SIMULTANEOUS', 'VERTICAL', 'SOLAR', 'DOWNWARD', 'UPWARD']",Inward Outward downward upward upper and lower and fan block and chop or parry and simultaneous L knife R vertical punch to solar L knife L punch to the bridge of R step forward R punch to groin left downward R backfist to face upward R grab and pull down trapping opponents L arm over R finish with L punch to face,Outward
544,"['FIRST', 'GERMAN', 'YOUNG', 'SECOND', 'THIRD', 'FLEMISH']",The first individual impersonating a German priest was a young engineering student from Manfield the second priest was a Dutchman from and the third priest was a Flemish speaking Beligan from Antewarp,Antewarp
545,"['EXCLUSIVE', 'ANXIOUS', 'FIRST']",Sarah begins her dealings with Andrew the exclusive art dealer for Zizi and he is anxious to get an exclusive first look at the painting,Andrew
546,"['SACRIFICIAL', 'NECESSARY', 'PERFECT']",has been seduced by Gabriel to become a sacrificial lamb necessary to provide the perfect opportunity for Gabriel too expose Aziz and killed him,Gabriel
547,"['POLITICAL', 'JAPANESE', 'AMERICAN', 'VIABLE']",The political system would produce Japanese cars on America soil with American workers as the only viable solution,America
548,"['NARROW', 'NATIONAL', 'CORPORATE']",Japan must abandon their narrow national perspective and create innovators in a post corporate form,Japan
549,"['PERFECT', 'FIRST', 'DEFECTIVE', 'CORRECTIVE']",Lean Production seeks perfect assembly and quality on the first time where workers identify defective parts immediately and send them to quality circles for inspection and determination where the the quality team initiates corrective action and repair at the root cause,Production
550,"['BRIEF', 'ENOUGH', 'CLEAR']",JC Preston says that the witnesses saw someone and only for a brief not enough time to get a clear view of their profile,Preston
551,"['RIGHT', 'SWOLLEN', 'AGITATED']",Joseph Gordon knuckles on his right hand were bruised and swollen and when he was arrested Gordon was in an agitated lying down on his bed in an undershirt,Gordon
552,"['QUANTITATIVE', 'EXTERNAL', 'POLITICAL']",Quantitative means appeased the external political rationales managing the outcome of the Vietnam war,Vietnam
553,"['INDEPENDENT', 'ACADEMIC', 'LEAST']",Amazon using an independent academic research on its book sales suggested that 98 percent of its top books sold at least once a quarter,Amazon
554,"['AVAILABLE', 'TRADITIONAL', 'PHYSICAL', 'RETAIL']",For companies like and Rhapsody the fastest growing part of their businesses is sales of products that available in traditional physical retail stores,Rhapsody
555,"['FATAL', 'SNOWY', 'SMALL', 'INTENSE']",Joe and Simon both experience near fatal slides through snowy collision with falling floods of small avalanche snow and intense fear relating to the possibility of step into the void and falling onto the glacier below,Simon
556,"['STRONG', 'EMOTIONAL', 'OBJECTIVE']",Joe and Simon narrative include discussion of how they control strong emotional fear perceptions by returning to rationale and objective thought,Simon
557,"['SECULAR', 'INTELLECTUAL', 'FINANCIAL', 'RELIGOUS']",Richest Man in Babylon is a study of contrasts between secular intellectual financial thought and religous morality,Babylon
558,"['RIGHTEOUS', 'EFFICIENT', 'SCIENTIFIC']",The Rich Man of Babylon your money to seeking capital the righteous man your excess to feed the by creating more efficient and scientific breakthroughs and in labor there is wealth,Babylon
559,"['POWERLESS', 'SHAOLIN', 'CORRUPTIBLE']",The community is powerless against the Warlord and the Shaolin monks have been paid for with a price and corruptible,Warlord
560,"['POLITICAL', 'POWERFUL', 'SKILLED']",The governor is a political pawn to a very powerful warlord skilled in the Buddha palm poison hand who will fight the iron monkey and tiger and burn to death,Buddha
561,"['INNOVATIVE', 'COMPLEX', 'NUMEROUS']",The flying stunts are more innovative than Crouching Tiger and Hidden dragon and the combat more complex combining numerous techniques of five animal style and shadow kicking by Jade Tiger,Tiger
562,"['HANDED', 'FATAL', 'RIGHT']",Virgil inspects Oberst and concludes he is left handed telling Gillepie that the fatal blow was delivered by a right handed man,Gillepie
563,"['INDEPENDENT', 'IMMEDIATE', 'OTHER']",escorts Virgil to the train and respectfully bids him goodbye and both men are independent with no immediate family or both men understand their passion for their work and gained a respect for each other,Virgil
564,"['CORROSIVE', 'SOLID', 'ABOUT']",Clark transforms into the pumphouse and the firemen are without water and the fire threatens a storage unit of corrosive solid acid which is about to become acid vapor that can eat through and destroy all life on earth,Clark
565,"['LASTEST', 'INFRARED', 'VISUAL']",Luther demonstrates the lastest high tech weaponry and infrared visual systems giving Luther the power of an army,Luther
566,"['ANNOYED', 'DISGRUNTLED', 'ROGUE']",Brassel acts like the annoyed employer chewing out his disgruntled Ethan and after the Lindsey rescue failure and Ethan and Musgrave act like the rogue agents operating outside the agency,Musgrave
567,"['BIODIESEL', 'ENVIRONMENTAL', 'FEWER']",Biodiesel environmental advantages Biodiesel emits no discharges less has fewer smog producing leads to reduction in carbon and has less hydrocarbons,Biodiesel
568,"['DOWNWARD', 'ECONOMIC', 'LARGE', 'SAUDI']",The House of Saud is a ruling class and putting downward economic pressure on an increasingly large Saudi society,House
569,"['RAPID', 'EXPENSIVE', 'LARGE']",India enjoys a growth rate and experience rapid wealth creation buying expensive and large abodes,India
570,"['ADAPTIVE', 'COMPLEX', 'ELECTRONIC', 'SOCIAL', 'INSTANTANEOUS', 'POSSIBLE', 'TACTICAL']",The adaptive communication networks and complex electronic social network gives the Saint 5 robots instantaneous data feeds making possible triangulation and millisecond coordination and chess like tactical responses that destroying all enemy targets,Saint
571,"['VISUAL', 'SOCIAL', 'HIERARCHICAL', 'HUMAN', 'BEHAVIORAL', 'AUTONOMOUS']",The Saint 5 robots have visual processing voice recognition 3D map terrains social hierarchical command coordination and human behavioral response states and and autonomous locomotion throughout the base,Saint
572,"['FUTURISTIC', 'COMPLETE', 'DISTANT']",Kurzweil like futuristic potentials were implied such as the complete download of the internet into if it were and space exploration to distant worlds,Kurzweil
573,"['LOWER', 'COMPLEX', 'ECONOMIC', 'AGRICULTURAL', 'SPECIAL']",Advocates of biodiesel like the fuel because of lower emissions lower Nitride and less complex hydrocarbon economic benefits for agricultural corporations and special interest and lubricating affect of engine parts,Nitride
574,"['LIGHT', 'ECONOMIC', 'NUCLEAR']",As a part of the Agreed Framework and South Korea agreed to provide fuel build two light water nuclear and lift economic if N Korea dropped its nuclear weapons close its graphite nuclear and lock up fuel so they could not be transformed into plutonium,Korea
575,"['LIGNITE', 'WOODY', 'VARIOUS']",Anthracite and lignite coal types are composed of woody tissue in various states of preservation,Anthracite
576,"['SUDDEN', 'MAGNETIC', 'COSMIC', 'OLDER']",a sudden reduction in the earth magnetic field then allowing cosmic radiation in the atmosphere break up the Carbon 14 making it seem the earth was older 2,Carbon
577,"['NAKED', 'LITTLE', 'DEADLY', 'PRIVATE', 'OTHER', 'ULTIMATE', 'HOLLOW', 'SAVAGE']",NO MAN HAS GONE CORBOMITE ENEMY MAN NAKED OF ARE LITTLE GIRLS MADE OF OF THE CONSCIENCE OF THE GALLIED MENAGERIE SQUIRE OF ALERNATIVE IS RETURN OF THE TASTE OF SIDE OF DEVIL IN THE OF CITY ON THE EDGE OF MOURNS FOR DOOMSDAY IN THE DEADLY TROUBLE WITH AND TO PRIVATE LITTLE GAMESTERS OF IMMUNITY PIECE OF THE ANY OTHER TO OF ULTIMATE OMEGA OF THE OF PARADISE ENTERISE CHILDREN SHALL THERE IN TRUTH AND THOLIAN THE WORLD IS HOLLOW AND I HAVE TOUCHED THE OF THE OF ANY WHICH THAT BE YOUR LAST GODS MARK OF LIGHTS OF CLOUD WAY TO FOR SAVAGE OUR,CLOUD
578,"['BEWILDERING', 'GASEOUS', 'DIFFERENT', 'MOLECULAR']",Spock is bewildering how a laboratory experiment can be Kirk tells that what he is proposing is yet it Spock then reasons the gaseous cloud must be able to change itself into some different molecular structure,Spock
579,"['SICKLY', 'SWEET', 'STRANGE', 'SMOOTHER']",Ensign Rizzo is revived and he describes the alien as and he noticed an a sickly sweet strange like being smoother in honey and drawing the strength from him,Rizzo
580,"['MOLECULAR', 'GASEOUS', 'INTELLIGENT']",The alien has the ability to hide from the molecular Spock explains the alien can change its molecular the crew still is not convinced that a gaseous cloud can be intelligent,Spock
581,"['ALIEN', 'DIFFERENT', 'INTELLIGENT']",The alien moves to space and travels at speeds approaching warp the alien can travel through time using gravitation Spock immediately deduces that neither Kirk nor Garrovick firing of the phraser would have made a different because of the time meaning that alien would have been at a different at the moment they fired their the alien stops course and turns back on the the crew finally believes they are fighting an intelligent Kirk orders a spread of phrase and photon fires sequences with not the alien kills two more crew as it enters impulse engine 2,Garrovick
582,"['BLANK', 'ILLOGICAL', 'REVERSE', 'UNINJURIED', 'HUMAN', 'RESPONSIBLE']",While talking the alien enters through a ventilation duct in Ensigns Garrovicks Spock attempts to block the vent with his hands not a blank or illogical Kirk orders a reverse pressure on the ventilation shaft and Spock emerges uninjuried from the Kirk asks you Spock replies that his blood is composed of copper unlike the iron in human Spock finally tells Kirk that his actions today would have had the same results 11 years ago and that Kirk was not responsible for the deaths,Spock
583,"['ALIEN', 'ABOUT', 'TERRIBLE']",Kirk and Garrovick bait the alien with a container of hemoglobin which the alien Kirk and Garrovick use themselves near the bomb and beam out justs as the alien is about to McCoy complains to Spock that transportation technology is a terrible way to travel a mans molecules all over the Spock manages to complete the transportation and in humour tells saved the Captain was his cross circuiting to,Captain
584,"['PREVIOUS', 'SEVERE', 'ELECTRIC', 'ELECTRICAL']",In a previous Spock is confront by the companion at the shuttle craft while he attempts to bring the power Spock attempts to probe the Companions but Companion response with a severe electric shock directed at Spocks learns from the experience that the companion is electrical and designs an electric to injure the companion,Spocks
585,"['MASSIVE', 'VULCAN', 'SIGNIFICANT']",Sareks family has massive Vulcan land ownership and significant class prestige and status among the Vulcan elite and ruling class,Vulcan
586,"['NUMEROUS', 'SECRET', 'MILITARY']",Kirk learns from Amanda that Sarek disagreed with Spocks decision to join Starfleet instead of the Vulcan Science Spock disguarded the family tradition and the Vulcan Sarek believed Spock decision was Sarek correctly criticized Spock for choosing peace through Sarek accessed the Federation as an organization involved with numerous acts of and secret military activity through out the Sarek desired for Spock to learn the Ambassador discipline and gain influence through family and Sarek believe Spock should learn and practice the traditions of the his fathers,Spock
587,"['CRYOGENIC', 'NEGATIVE', 'VULCAN']",McCoy recommends cryogenic open heart but the procedure will require vast amounts of T negative Vulcan blood,McCoy
588,"['NUCLEAR', 'ALARMED', 'UNLIMITED']",Since the nuclear explosion at Hiroshima and Nagasaki more scientist are alarmed at unlimited use of technology,Nagasaki
589,"['INTELLIGENT', 'SOCIOLOGICAL', 'OTHER']",David Bruemmer considered intelligent robots to be a more sociological we will interact more with machines and less with each other,Bruemmer
590,"['DIRECT', 'FEDERAL', 'UNMANNED']",Will more countries fight wars with robots sparring direct loss of What will happen when both sides deploy robot In the US House of representatives set aside billion for federal research By of the US combat aircraft will be unmanned and ground and sear forces will rely heavily on robots according to Eric Baard,Baard
591,"['TRIBBLE', 'OTHER', 'MENTAL', 'EMOTIONAL']",Empathy gives the tribble access to the other mental state and emotional interactions,Empathy
592,"['GREATEST', 'LEAST', 'OTHER']",Jesus taught the twelve that he who is greatest is least or in other words the servant of his brother,Jesus
593,"['ELDER', 'PRODIGAL', 'JEALOUS']",Was the elder son and brother to the prodigal son complaining because of the return of his brother or was he jealous of his father Does Satan envy sons and daughters that rejoice in the gospel and light of the a,Satan
594,"['EMOTIONAL', 'PRODIGAL', 'SHORT', 'CRUEL', 'UNJUST']",Heavenly Father demonstrates an emotional need for the prodigal son to return home and suggests that the sinner will not be condemned or criticized for his short comings in any cruel or unjust manner because the sinner is loved by the Heavenly Father and his return is celebrated,Father
595,"['PERPETUAL', 'SOVEREIGN', 'SPIRITUAL']",1500 years of and no peace in the world since the birth of perpetual war between Christians and in a struggle for popes and kings dueling over sovereign and spiritual darkness and famine oppressing the saint,Christians
596,"['HOSTILE', 'GIANT', 'NUCLEAR', 'IONIC']",Kirk and an away team beam down onto the surface of the they get life sign readings of a hostile giant group of male species and prepare for a Kirk manages to stun one of the the man tells Kirk that they are no like the the givers of pain or pain and Kirk is convinced that the who took brain was here on the after wandering the team discovers a cave with food and Kirk releases that the cave is a trap and designed to trap the male Scottie gets an energy reading from underneath the surface of the planet and the reading indicates an energy source putting out the power of a nuclear pile that would extend a 100 Scottie deduces that it must be ionic power that is creating the energy signature,Scottie
597,"['FEMALE', 'BLACK', 'LIGHT', 'ARTIFICIAL']",The team takes the bait and its transported downward and when the doors open a woman called Luma is waiting for Kirk stuns her with phaser the woman has the mind of a child but the team learns about the controller and apparently when Kirk stands next of robotic controlled he can hear the voice of Spock through is Spocks brain is controlling the life systems of a female control society and will provide functionality for a high prices to pay for brain is housed in a black box and light ray optical channels pass light signals in and out of the black brain is controlling the waste and food production processes of the artificial environment,optical
598,"['OBVIOUS', 'DELICATE', 'VOCAL', 'SUCCESSFUL', 'MEDICAL']",McCoy wants to take the risk of using the teacher to learn how to connect McCoy learns from the teacher and it becomes obvious how to reconnect the brain and McCoy exclaims that even a child could perform the delicate the knowledge from the teacher only lasts three McCoy begins reconnect the brain using laser sealing Scottie reveals the McCoy is moving a warp speed through the operation the knowledge begins to fade and Kirk tells McCoy to reconnect Spock vocal processing Spock successful assists McCoy through the remainder of the as McCoy is forced to use his medical knowledge to complete the operation,McCoy
599,"['DETAILED', 'SYNTACTIC', 'LARGE', 'SUFFICIENT', 'AMBIGUOUS']",Robert Lindsay quality translations could be produced by machines supplied with sufficiently detailed syntactic a large and sufficient speed to examine the context of ambiguous words for a few word in each direction,Lindsay
600,"['SERIOUS', 'OPERATIONAL', 'ALIEN']",the Klingons and Federation are experiencing serious operational disruptions being misdirected by an evil alien force into thinking each is the cause for explosions on the Klingon ship and the death of a 100 people on colony on Beta,Klingon
601,"['IMPOSSIBLE', 'TOTAL', 'ANGRY']",Jones says that marriage is impossible and her total devotion is to simply can not love the way you want to be Larry becomes angry and speaks harshly to Dr,Larry
602,"['LOGICAL', 'FAMILIAR', 'USELESS']",Spock decides to sneak a mind link with the ambassador and comes up with a logical argument that only the Ambassador can navigator the Enterprise back into familiar interestingly the space time continuum seems to be broken and the enterprise is outside space and so merely moving in any direction would be useless and only pure thought can restore them back into,Enterprise
603,"['GREAT', 'PRESUMPTUOUS', 'ARROGANT', 'INFINITE']",Jones patronizes Spock by telling understand the great joy you felt when you joined with variety in a presumptuous and arrogant assumption that the Vulcan could touch the realm of infinite creation and order and survive,Vulcan
604,"['CORPORATE', 'STRONG', 'INFORMAL']",Deal and Kennedy define Corporate strong system of informal rules that spells out how people are to behave most of the time,Kennedy
605,"['SHIITE', 'KURDISH', 'CIVIL']",The Media hypes Sunni fighting against the Shiite and Kurdish majority implying civil war,Sunni
606,"['STRONG', 'INDUSTRIAL', 'WESTERN', 'LARGEST']",Iran has a strong industrial base of 40 million Iran is changing and western economics and ideas are Iran is advancing Iran needs electricity for industrial Iran is Iran fundamentalism controls the and Iran is the largest provider of oil in the world for India,India
607,"['TERRORIST', 'ISLAMIC', 'NUCLEAR']",Iran has sponsered terrorist activity through out the middle east and the fear of Islamic fundamentalism escalates tensions and decreases trust that they will be using the nuclear capabilities peacefully,middle
608,"['SUSPICIOUS', 'RADIOACTIVE', 'NUCLEAR']",Suspicious such disguisting and removing buildings thought to be creating radioactive materials for a nuclear bombs does make the leary,leary
609,"['POLITICAL', 'ECONOMIC', 'DESOLATE', 'TERRORIST']",What are the US political objectives for US troops in Has the US policy makers created stability and economic growth in the new and emerging country of How much money will be required to create stability in the desolate landscape of the al Qaeda and its affliate terrorist groups have established more than a dozen training camps and safe al Qaeda is in the Sahara and the Sahel to create a new the land is far from it rises to more than eleven thousand feet and drops to more than 100 ft below sea level,Sahel
610,"['AFRICAN', 'SACRED', 'CERTAIN', 'SENIOR', 'SUDANESE', 'FIERY', 'RECENT', 'ANIMIST', 'BLOODY', 'CIVIL']",2003 in Algeria a meeting occurred between Hassan aides and bin in an agreement was formed African rebels and al Qaeda which provides assistance in the sacred war in the west of Sudan in return for certain support and security arrangements for them and those al Qaeda members on the senior Sudanese intelligence official in Khartoum told me that the link between the fiery Islamist and bin Laden network has strengthened in recent Since fighting against Christian and animist South has turned into a bloody civil costing over 2 million lives,South
611,"['BIOLOGICAL', 'CHEMICAL', 'NUMEROUS']",al Qaeda and Iraq al Qaeda men arranged for the purchase of biological and chemical weapons from al Qaeda soldiers are in Iraq and lead many attacks against US al Qaeda Bin Laden sent men too Iraq numerous times and arranged support for his terror network,Laden
612,"['MARTIAL', 'POPULAR', 'INFERIOR']",reason to teach Tai Chi public based on patriotism and the martial art could be used against 19th century Western have seen popular martial arts performers whose spirit and physique are in no way inferior to the muscle men of the West,Western
613,"['MACABRE', 'ENDLESS', 'WHOLE']",But the Germans had entered upon a macabre era in which evil and irrationality would reign for twelve endless in which the whole nation would be suborned,Germans
614,"['JEWISH', 'TEMPORARY', 'PROTECTIVE', 'DAVIDIC', 'MISSING', 'POSSIBLE', 'RACIAL', 'SECOND']",The Holocaust proved that logic and reason would not protect the Jewish only God could protect his the Jews therefore would seek a temporary protective covenant by returning back to the teachings of the the Davidic covenant would remain missing and the Jews would continue to fear a possible racial hatred uprising and the shadow of a second Holocaust,Holocaust
615,"['JEWISH', 'SPIRITUAL', 'COMMUNAL', 'EXTERNAL', 'ECONOMIC', 'THIRD', 'INDUSTRIAL', 'SCIENTIFIC', 'MIDDLE', 'INCREDIBLE', 'POLITICAL', 'SAFEST']",The Jews fidelity to law anchored them back into their Jewish fundamentalism and symbolically provided a spiritual and communal refuge from external the Zionism and the Israel home state started an mass exodus back to Israel and significantly increased the Jewish migration by the economic development in Israel flourished and Israel companies expanded globally pushing Israel into third world for industrial and scientific financing and economic prosperity and stability helped store oil money in the middle history repeats itself and Israel would build incredible long walls to separate Arab and but eventually this illusion would be realized and new political and economic forces will bring economic inflows of money to Israel land have improved irrigation and agricultures Israel fighting with Arab neighbors will expand land borders rather than contraction and Israel will appear as one of the safest places on earth,Israel
616,"['DIPLOMATIC', 'HUNGARIAN', 'SWEDISH']",Raoul a who used his diplomatic post to save thousands of Hungarian Jews from deportation to death camps by forging Swedish passports,Raoul
617,"['CONSCIOUS', 'SMART', 'PRIVY', 'INDEPENDENT', 'AFFECTIVE', 'NUMEROUS', 'LARGE']",rescuers effort to save Jews during the Holocaust required a conscious decision to as the rescuers discovered they could out smart the their confidence grew and their ability to help rescuers were who was privy to knowledge about the harboring rescuers where independent thinkers and many of the at a core level acknowledged the immortality of Nazism and almost immediately the rescuers source of strength was and the rescuers became affective at play acting numerous up to 11 characters and memorizing large amounts of character so they would be able to answer SS questions,Nazism
618,"['DEVOUT', 'WEALTHY', 'SOUTHEASTERN', 'JEWISH', 'LOCAL']",was a devout she was born into a wealthy farm family with many acres of and a plantation in father died and the mother went to visit who had moved to a city in southeastern Poland that had a Jewish population of Stefania found Przemysl Stefania was allowed to stay and found work in a local grocery for the Lea Adler Diamant family,Diamant
619,"['PRIMARY', 'EXCELLENT', 'INTERIOR']",Kuwait primary asset is the excellent trade with the interior and oyster beds that produce pearls,Kuwait
620,"['ISRAELI', 'NUCLEAR', 'PREWAR', 'IRANIAN', 'IRAQI']",Iraq and Iran begin open Israeli bombs Iraqi Osiraq nuclear Iraq is pushed back to prewar War expands in the Gulf area and threatens Iranian oil shipping and oil USS Stark is hit by missile from Iraqi plane killing thirty seven sailors,Stark
621,"['IRAQI', 'LARGE', 'INTACT', 'IRANIAN', 'STATIC']",Iraqi army that Saddam poised at the Kuwait border in July 1990 was a large army and remained intact through eight years of fighting with Iranian forces but the fighting was largely a static not a war of manures in the desert,Kuwait
622,"['MEANINGFUL', 'ALLIED', 'IRAQI']",air supremacy denied the Iraqis any meaningful information about Allied forces while at the same time kept Allied commanders informed about Iraqi forces,Iraqis
623,"['IRAQI', 'LITTLE', 'REPUBLICAN']",The Iraqi guard heard very little except the news that was coming in over the US troops report that most of the Republican guard were hit before the Iraqis knew they were in the area,Iraqis
624,"['ISLAMIC', 'MODERATE', 'RADICAL']",Oct Bush liken the ideology of Islamic militants to saying they were attempting to overthrow all moderate governments in the region and establish a radical Islamic empire that spans from Spain to Indonesia,Indonesia
625,"['LOWER', 'COMPLEX', 'ECONOMIC', 'AGRICULTURAL', 'SPECIAL']",Advocates of biodiesel like the fuel because of lower emissions lower Nitride and less complex hydrocarbon economic benefits for agricultural corporations and special interest and lubricating affect of engine parts,Nitride
626,"['DOUBLE', 'STANDARD', 'CERTAIN']",The bomb is thought to be a double standard chronometer that delays activation and barometric that triggers the bomb at a certain pressure,barometric
627,"['ACTIVE', 'NUCLEAR', 'RUSSIAN']",Russia is becoming more active in nuclear missile program and Iran benefits from Russian advisors and shipment of missile components,Russia
628,"['EXTERNAL', 'CAPABLE', 'MILITARY', 'RUSSIAN', 'ECONOMIC', 'POLITICAL', 'CONVENTIONAL', 'CASPEAN']",Russian Federation Security Doctrine main external force potential capable of creating a threat to Russian Federation military security and to Russian economic and political is the conventional Forces in Europe and encroachment in the Caspean sea,Europe
629,"['TRAGIC', 'TWENTIETH', 'MODERN', 'TERRORIST']",of the tragic paradoxes of the twentieth century is that those states which have most closely with the path of enlightenment have committed acts of barbarism that no modern terrorist group has yet been able to match,enlightenment
630,"['FOREIGN', 'SMALL', 'LITTLE', 'STRONGER']",Foreign investors start with a small learn the develop relationships with Chinese let each experience make them a little stronger,Chinese
631,"['WILLING', 'LEAST', 'HONEST']",the poor man was your how would this make you Would you have more compassion and love for Would you want to know why he was Would you be willing to unto the least of my Heavenly Father gives us opportunities to discover opportunities in this he gives us opportunities to be he gives us the chance to bear one he gives us opportunities to teach for he gives us opportunities to extend he expects us to be honest and work and he provides his love to those whom keep the commandments,Father
632,"['HUMAN', 'VARIOUS', 'IMPORTANT']",Shlomo Biderman understand scripture is to understand the conditions under which a group of text has gained authority over the lives of people and has been incorporated into human activities of various important kinds,Biderman
633,"['MAJOR', 'RELIGIOUS', 'INTELLECTUAL']",Jan Shipps Book of Mormon occupies a position of major importance in both the religious and intellectual history of the United States,States
634,"['UNHALLOWED', 'INDEPENDENT', 'GREAT']",predicted to unhallowed hand can stop the work from persecutions may mobs may armies may calumny may but the truth of God will go forth and independent till it has penetrated every visited every swept every and sounded in every till the purposes of God shall be accomplished and the great Jehovah shall say they work is done,Jehovah
635,"['CONCRETE', 'SACRED', 'THEOLOGICAL']",Book of Mormon is preeminently a concrete manifestation of sacred and thus an evidence of divine before it is a repository of theological claims,Mormon
636,"['LINGUISTIC', 'SCHOLARLY', 'RHETORICAL']",Joseph by the spirit of revelation he are validated by the authority to which they are by linguistic scholarly rhetorical or anything else and the words stand or fall with the authority,Joseph
637,"['DIVINE', 'MIRACULOUS', 'THEOLOGICAL']",The Urim and Thummim by its divine and miraculous powers polarize the Book of Mormon around the issue of authenticity rather than theological merit,Mormon
638,"['HISTORICAL', 'ANCIENT', 'AMUSING']",Joseph Smith was fascinated by the historical dimension to the ancient records and his mother the course of our evening Joseph gave us some of the most amusing recitals which could be imagined,Joseph
639,"['POTENTIAL', 'PHILOSOPHICAL', 'CLOSER']",my request of 2342 that a research team be assembled with the goal of evaluating the potential benefits and philosophical challenge of reunification with the I wise to observe that a study of Romulan linguistics point to a closer link between the Sundered and those of Vulcan than the Department of Xenolinguistics initially believed,Xenolinguistics
640,"['GREEN', 'DEBILITATING', 'PAINFUL']",Uhura tells Saavik that Praetor Dralath has a condition known as syndrome which involves green blood cell increasingly debilitating and painful,Dralath
641,"['HONORABLE', 'CRIMINAL', 'SACRED']",There shall be an honorable trial of criminal Dralath in accordance with our sacred customs,Dralath
642,"['PRIME', 'SUPREME', 'MORAL', 'PRACTICAL']",The prime directive should be the supreme moral guideline governing the Federation interactions with alien the prime directive has become more an ideal than a practical application,Federation
643,"['GREAT', 'VISIONARY', 'APPLICABLE']",The idea for Groundhog was great and its visionary design applicable for mars landing,Groundhog
644,"['WONDERFUL', 'DELICIOUS', 'PRIOR']",The Sabbath was celebrated with a wonderful feast of delicious food prepared the prior day,Sabbath
645,"['SECRET', 'STRONG', 'SUBSTANTIAL', 'MCCOYS']",confronts do you think of the scheme to sell off formerly property on after the to secret buyer with strong who have already made substantial payoffs to Vulcan officials to ensure that the property will be sold to them at before anyone else hears about Sarek reviews McCoys data and report the information to who is dieing,Sarek
646,"['PRIMARY', 'MILITARY', 'ECONOMIC']",Sarek fails to acknowledge the primary reason for Federation affiliation that being military economic and technology injections,Federation
647,"['RIGHT', 'FRONT', 'FAVORITE']",Jab with the right Step with the right Left cross to the Jab with the right Right front snap kick to Left cross to the Left rear front snap kick to the and hook of my favorite a to the to the side with the left a right hook to the to the Drive a to the Without moving the shift the left hook the right the left the right arm at the,Drive
648,"['HIGHER', 'FOREIGN', 'REPORTED']",new Companies use the currency exchange rates to higher report earnings for sales in foreign as the dollar the foreign currency and inflates the reported earnings and inflates the stock price,Companies
649,"['NANOMATERIAL', 'INSTRUMENTAL', 'NANOENERGETIC']",NovaCentrix is a nanomaterial company that has been instrumental in the development this new nanoenergetic material,NovaCentrix
650,"['INDUSTRIAL', 'ADDITIONAL', 'GASEOUS']",Each person in America produces twice his weight per day in and industrial and an additional per week when gaseous waste such as carbon dioxide are included,America
651,"['ECOLOGICAL', 'PUBLIC', 'EFFICIENT', 'LOWER']",ecological of public resources and interests receive remedy of through a tax Can we image a market system that nourishes and enhances life on Business argue that the mechanism for achieving these goals is already in that companies now recognize that less more efficient manufacturing methods result in lower cost,Business
652,"['TIDAL', 'MASSIVE', 'EMINENT']",The Klingon food production has been as tidal forces have been disrupted and weather currents massive shortages of resource seem eminent,Klingon
653,"['STRONG', 'MILITARY', 'SCIENTIFIC']",Vulcan has strong military technology and leads the federation in scientific research,Vulcan
654,"['DIFFERENT', 'SPECIFIC', 'CANCEROUS']",Langer improved delivery by taking the drug directly to the cell by using 100 Liposomes filled with different the Liposomes were decoreated with molecules that bind to specific markers on the cancerous the membrane fuses with the and the drug is released into the cell,Langer
655,"['RELATIVE', 'BINARY', 'NECESSARY']",information encode on each the race is too replace the quantum dot nanoparticles create so that their relative positions determine their effect on when arranged in groups of Quantum Celluar Automata can carry out binary logic necessary fro computer operations,Automata
656,"['GENTLE', 'INDIVIDUAL', 'CARING']",Zar believed Spock to be a warm and gentle individual very caring and concerned for became like the Vulcans of that time years ago,Vulcans
657,"['NONCONSENSUAL', 'HEINOUS', 'VULCAN']",Zar attempts an nonconsensual mind connection with Spock decries it as a heinous in Vulcan terms,Spock
658,"['QUANTUM', 'IMPORTANT', 'MATHEMATICAL', 'ORDINARY']",1994 Peter discovered how a quantum computer could solve important mathematical one that had long been known to be beyond the reach of ordinary computers,Peter
659,"['LARGE', 'SINGLE', 'ENTIRE', 'VISIBLE']",Duetsch in his book Fabric of Reality says such unimaginably large number presents believers in a single universe a there are only about atoms in the entire visible universe,Reality
660,"['NEUTRAL', 'ABSTRACT', 'MULTIDIMENSIONAL']",more neutral language physic prefer is to say that quantum states occupy a abstract multidimensional space known as Hilbert space,Hilbert
661,"['TINIEST', 'QUANTUM', 'BIGGISH', 'ENTIRE', 'MACROSCOPIC']",A CA operated at the tiniest quantum scale knows as Planck length and Plank time would only need to be the size of a biggish star to simulate the entire macroscopic evolution of our universe from the Big Bang to the present in about four hours,Plank
662,"['STRONG', 'CHEAP', 'LOWER']",strong encouragement by the Barnanke created a surge in ARM loans and further intoxicated the consumer because ARMs provide cheap entry caused by lower treasure but rates can adjust,Barnanke
663,"['WORLDWIDE', 'GLOBALIZED', 'GLOBAL', 'CORPORATE']",Globalize and strive for worldwide quality and service create globalized benefit structures and a Global oriented Human Resource management develop a global corporate culture,Resource
664,"['TALENTED', 'YOUNG', 'JAPANESE', 'WILLING']",Applied Material hired manager Tetsuo Iwasaki and he used his influence to recruit and attract talented young Japanese willing to take the risk and join following his leadership,Iwasaki
